l1,l2,Lambda
0.40134228187919463,35.05570469798658,1.5377292681679802
0.40134228187919463,35.35704697986577,1.5378787059633887
0.40134228187919463,35.658389261744965,1.5380243341969693
0.40134228187919463,35.95973154362416,1.5381664255692553
0.40134228187919463,36.26107382550335,1.5383049839377876
0.40134228187919463,36.562416107382546,1.5384400907786315
0.40134228187919463,36.86375838926174,1.5385718861948001
0.40134228187919463,37.165100671140934,1.5387005564679537
0.40134228187919463,37.466442953020135,1.5388261114401025
0.40134228187919463,37.76778523489933,1.5389486795191114
0.40134228187919463,38.06912751677852,1.5390684062361066
0.40134228187919463,38.370469798657716,1.539185284264244
0.40134228187919463,38.67181208053691,1.5392994014983088
0.40134228187919463,38.9731543624161,1.539410993312331
0.40134228187919463,39.2744966442953,1.5395199712249639
0.40134228187919463,39.57583892617449,1.5396265529654989
0.40134228187919463,39.877181208053685,1.5397306645649471
0.40134228187919463,40.178523489932886,1.5398324304347464
0.40134228187919463,40.47986577181208,1.5399319632475474
0.40134228187919463,40.78120805369127,1.5400293403543568
0.40134228187919463,41.08255033557047,1.5401245387806517
0.40134228187919463,41.38389261744966,1.5402176629047173
0.40134228187919463,41.685234899328854,1.540308832824811
0.40134228187919463,41.98657718120805,1.5403980285213914
0.40134228187919463,42.28791946308724,1.540485311869593
0.40134228187919463,42.58926174496644,1.540570804391252
0.40134228187919463,42.89060402684564,1.5406544030368599
0.40134228187919463,43.19194630872483,1.540736298228443
0.40134228187919463,43.493288590604024,1.5408165329103043
0.40134228187919463,43.79463087248322,1.5408950781432684
0.40134228187919463,44.09597315436241,1.5409720517069725
0.40134228187919463,44.397315436241605,1.5410474955101958
0.40134228187919463,44.6986577181208,1.5411213881443657
0.40134228187919463,45.0,1.5411937667885645
0.7026845637583892,0.1,6.700339626902086
0.7026845637583892,0.40134228187919463,-2.2284310792692037
0.7026845637583892,0.7026845637583892,-0.8098277305562189
0.7026845637583892,1.0040268456375838,-1.3361794588973914
0.7026845637583892,1.3053691275167785,0.27719715352464275
0.7026845637583892,1.6067114093959731,0.34781161291536183
0.7026845637583892,1.9080536912751676,1.2579896047570893
0.7026845637583892,2.209395973154362,1.4127838071006003
0.7026845637583892,2.510738255033557,1.3979002241942016
0.7026845637583892,2.8120805369127515,1.3469480415706105
0.7026845637583892,3.113422818791946,1.2973672429126895
0.7026845637583892,3.414765100671141,1.2612290262815313
0.7026845637583892,3.716107382550335,1.2405613457923446
0.7026845637583892,4.017449664429529,1.2331640862162114
0.7026845637583892,4.318791946308724,1.2355988697461548
0.7026845637583892,4.6201342281879185,1.2446015391831275
0.7026845637583892,4.921476510067113,1.2575793967047029
0.7026845637583892,5.222818791946308,1.2726627525225471
0.7026845637583892,5.5241610738255025,1.288586304532193
0.7026845637583892,5.825503355704697,1.3045368615767967
0.7026845637583892,6.126845637583892,1.3200181508583095
0.7026845637583892,6.428187919463086,1.334747623371942
0.7026845637583892,6.729530201342281,1.348582006695129
0.7026845637583892,7.030872483221476,1.361466875193028
0.7026845637583892,7.3322147651006695,1.3734024276177192
0.7026845637583892,7.633557046979864,1.3844208319496474
0.7026845637583892,7.934899328859059,1.3945727329344182
0.7026845637583892,8.236241610738254,1.403916877913274
0.7026845637583892,8.537583892617448,1.412515410692798
0.7026845637583892,8.838926174496644,1.4204296607555356
0.7026845637583892,9.140268456375837,1.4277184744570017
0.7026845637583892,9.441610738255033,1.4344373389741223
0.7026845637583892,9.742953020134227,1.4406372681388027
0.7026845637583892,10.04429530201342,1.4463651699742395
0.7026845637583892,10.345637583892616,1.4516637349940409
0.7026845637583892,10.64697986577181,1.4565715360008076
0.7026845637583892,10.948322147651005,1.4611236442751692
0.7026845637583892,11.249664429530199,1.4653515533130115
0.7026845637583892,11.551006711409395,1.4692837818714946
0.7026845637583892,11.852348993288588,1.4729460360474587
0.7026845637583892,12.153691275167784,1.476361429850529
